row_name,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
at home,-0.7185878722,-0.643770399,0.3366659393,1.197899236,-0.5818119991,-0.7942992557,-0.01813790994,0.218031348,-0.002930854352,0.8188920181
bar,0.1788881397,-0.1849581921,-0.4619834515,-0.761548576,-0.6908556629,-0.1857178231,-0.3542772755,1.355897264,-0.2067118816,0.2606947757
beer,-0.3164700755,-0.4061270711,-0.2198862188,-0.9298696219,-0.4187837196,-1.010176811,-0.4601551761,0.4578200381,0.3920281798,0.8042656927
celebrate,-0.8803236313,-0.3712566845,0.1848607484,0.4699390736,0.1804972624,0.7524130959,-0.003169560428,-0.5643607423,0.2564122802,0.2765760674
day,-0.6290509394,-0.08103898982,0.3640543599,-0.0548602462,-0.2175863631,-0.003910020731,0.4436523248,0.02990871618,-0.2726503861,-0.002348744998
download,0.2328291317,0.6058976874,-1.695302033,-0.3475269866,0.2557901399,-0.398693041,-0.8795591975,-1.592947085,-0.2444810364,-0.804578753
fashion,-1.192409097,0.2662339026,-0.3773046835,-1.893925909,0.3654772912,-1.354697735,-1.168826184,-0.4234274722,0.6350802719,-1.335524815
festival,-1.565647905,-0.6038868167,-0.3265556859,-0.4250570465,0.1152508975,-1.006821634,-1.215445804,-1.619374082,1.235976807,-2.081489287
food,-0.7135429479,-0.1108898698,-0.3580985667,-1.268507597,-0.07998380812,-1.231234652,-0.360029758,0.9990205618,0.2445606896,0.2564934034
friends,-0.6007202967,-0.00585720876,0.3934170537,-0.09067806364,-0.07275377306,-0.3701082209,0.2662797298,0.0231831744,-0.1006632976,-0.2725139528
game,0.4242767099,-0.2351994365,-0.9447457704,-0.03752961057,-1.109516692,-0.3241516414,-0.5855192756,0.7783699923,-0.7275190357,1.200914275
gamer,0.1272869777,-1.40063675,-1.805892182,-1.907469633,-1.619527282,-2.349070712,-1.006862688,2.404290858,-0.4955347332,-0.08085346537
gaming,1.625415502,-0.454047808,-0.3499583354,-0.6161577661,-1.215191759,-0.9523983296,-0.475187743,0.9630585841,-0.6714613856,-0.04020151698
gourmet,-0.1465160067,-0.4758258487,-0.4535093965,0,-1.195363799,-1.679784771,-0.7053015274,1.11415293,-0.06384676064,1.156016433
holiday,-0.1633010465,-0.1549161253,-0.3071427955,-0.3970583068,0.08136378865,-0.2945765404,-0.1194089803,0.829382068,0.04165149689,0.2773613258
night,-0.5974356114,0.08258760174,-0.2430731411,0.562416092,0.3120323847,0.3079523049,0.2447936074,-0.5379328676,-0.4615210359,0.3589869681
party,-0.443492338,0.4451128472,-0.004513725428,-0.1209469645,-0.4195663476,-0.05052716657,-0.1553890951,-0.3272176294,-0.3851706672,-0.8505027967
restaurant,-0.5629764862,-0.7716145087,0.4206043852,0.9113135045,0.6792190538,-0.5759073332,-0.3347960712,1.020183157,0.07063012027,0.1045703634
style,0.2937887361,0.4569077862,-0.7011499499,-0.8017700049,0.05439905582,-0.5560890229,-0.3125961312,-1.179424517,-0.5482989586,0.110944918
vinyl,0.06726713176,-0.01222271061,-1.785604454,-0.7176952772,-0.9490044904,-1.472646176,0.1436909545,-0.5902171964,-0.06191018413,1.026682792
weekend,-1.464791434,-0.2675982728,1.26609168,0.3653412549,0.09083378477,0.07083295455,-0.02768437247,-0.8218716607,-0.4974863469,-0.7564591007
work,0.004063240767,0.1984563219,-0.3448818607,-0.301147085,-0.2592034518,-0.3350333363,-0.1894307197,0.5875479602,-0.1732331788,-0.158284724
working,0.09259741006,0.1213732811,-0.1424982405,-0.1074821562,-0.3383656864,0.1068911542,-0.07715354393,0.625971279,-0.3321166235,-0.1386706486
youtube,1.759430983,-0.7388139094,-1.119392002,0.01214931249,0.4638197593,0.8487465544,-1.245332597,0.1292965878,-0.8810370856,0.4523274819
